BOM - Knock Box,,,,,,,,,,,,,,,
Note: Quantities in red refer to two boxes (one for Mario and one for Leander) plus some reasonable buffer.,,,,,,,,,,,,,,,
#,Sourced,Placed,References,Value,Footprint,MFR,MFR Part Number,Supplier 1,Supplier 1 Part Number,URL, $ per Unit ,Quantity single Box,$ per categorie per box,Quantity to Order (two Boxes plus buffer),$ per categorie for both boxes plus buffer
31,,,JP1,~,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,,,,,,1, $-   ,0, $-   
32,,,MK1,SPH0645LM4H,Knowles_SPH0645LM4H-6_3.5x2.65mm,Knowles,SPH0645LM4H-B,DigiKey,423-SPH0645LM4H-BCT-ND,,$2.74 ,1,$2.74 ,4,$10.96 
33,,,Q1,BSS84,SOT-23,Diodes Incorporated,BSS84-7-F,DigiKey,BSS84-FDICT-ND,,$0.24 ,1,$0.24 ,3,$0.72 
34,,,S1,SS-24E06-TG_5__P_,SW_SS-24E06-TG_5__P_,C&K,SS-24E06-TG 5 (P),DigiKey,CKN10394-ND,,$1.15 ,1,$1.15 ,3,$3.45 
35,,,"J2, J3, J8",Molex2,CONN_22232021_MOL,Molex,22232021,DigiKey,900-0022232021-ND,,$0.21 ,3,$0.63 ,8,$1.68 
36,,,"J4, J11",B2B-PH-SM4-TB,CONN_B2B-PH-SM4-TBLFSN_JST,JST Sales America Inc.,B2B-PH-SM4-TB,DigiKey,455-B2B-PH-SM4-TBCT-ND,,$0.55 ,2,$1.10 ,6,$3.30 
37,,,"J7, J10",61300311121,PinHeader_1x03_P2.54mm_Vertical,Würth Elektronik,61300311121,DigiKey,732-5316-ND,,$0.13 ,2,$0.26 ,6,$0.78 
38,,,J1,3221-10-0300-00,CONN10_3221-10-0300-00_CNC,CNC Tech,3221-10-0300-00,DigiKey,1175-1735-ND,,$0.76 ,1,$0.76 ,3,$2.28 
39,,,J5,61300911021,PinHeader_1x09_P2.54mm_Horizontal,Würth Elektronik,61300911021,DigiKey,732-5342-ND,,$0.88 ,1,$0.88 ,3,$2.64 
40,,,J6,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,XKB Connectivity,U262-161N-4BVC11,LCSC ELECTRONICS,C319148,,$0.40 ,1,$0.40 ,3,$1.20 
41,,,J9,Molex3,CONN3_22232031_MOL,Molex,22232031,DigiKey,WM4201-ND,,$0.27 ,1,$0.27 ,3,$0.81 
42,,,J12,OSTVN02A150,CONN_OSTVN02A150_OST,On Shore Technology Inc.,OSTVN02A150,DigiKey,ED10561-ND,,$1.08 ,1,$1.08 ,3,$3.24 
43,,,not part of PCB,Force Sensor,,Adafruit Industries LLC,1075,Adafruit Industries LLC,1075,,$5.95 ,1,$5.95 ,2,$11.90 
44,,,not part of PCB,Jumbo LED Green,,Kingbright,WP813GD,DigiKey,754-1898-ND,,$0.43 ,1,$0.43 ,2,$0.86 
45,,,not part of PCB,Jumbo LED Red,,Kingbright,WP813SURDK,DigiKey,754-WP813SURDK-ND,,$0.62 ,0, $-   ,2,$1.24 
46,,,not part of PCB,6V Servo Motor,,Parallax Inc.,900-00005,DigiKey,900-00005-ND,,$15.87 ,1,$15.87 ,2,$31.74 
47,,,not part of PCB,16mm Flush Button,,-,-,Ebay,1.31657E+11,https://www.ebay.com/itm/131657180740,$5.99 ,1,$5.99 ,2,$11.98 
48,,,not part of PCB,SD-Card-Module,,Adafruit Industries LLC,4682,DigiKey,1528-4682-ND,,$3.50 ,1,$3.50 ,3,$10.50 
49,,,not part of PCB,Jumper Pin Shunts,,Sullins Connector Solutions,STC02SYAN,DigiKey,S9000-ND,,$0.10 ,2,$0.20 ,6,$0.60 
50,,,not part of PCB,Female Socket Angled,,Sullins Connector Solutions,PPPC091LGBN-RC,DigiKey,S5484-ND,,$0.77 ,1,$0.77 ,2,$1.54 
51,,,not part of PCB,Male Header Angled,,W�rth Elektronik,61300911021,DigiKey,732-5342-ND,,$0.88 ,1,$0.88 ,2,$1.76 
52,,,not part of PCB,Molex Crimp Housing 2 Pins,,Molex,22013027,DigiKey,900-0022013027-ND,,$0.16 ,3,$0.48 ,10,$1.60 
53,,,not part of PCB,Molex Crimp Housing 3 Pins,,Molex,22013037,DigiKey,900-0022013037-ND,,$0.19 ,1,$0.19 ,3,$0.57 
54,,,not part of PCB,Crimp Terminals,,Molex,8650804,DigiKey,WM2756CT-ND,,$0.10 ,9,$0.90 ,30,$3.00 
55,,,not part of PCB,Battery Pack,,Adafruit Industries LLC,3859,DigiKey,1528-2707-ND,,$2.95 ,1,$2.95 ,2,$5.90 
56,,,not part of PCB,AA Batteries,,Panasonic - BSG,LR6XWA/BXU,DigiKey,11-LR6XWA/BXU-ND,,$0.44 ,4,$1.76 ,8,$3.52 
57,,,not part of PCB,Lithion Battery 3.7V,,SparkFun Electronics,PRT-13855,DigiKey,1568-1686-ND,,$13.95 ,1,$13.95 ,2,$27.90 
,,,,SD Card,,,,,,,,,$92.04 ,,$238.55 
,,,,Speaker,,,,,,,,,,,
